Linear Search: 
# Elements: , # Operations: 
5, 5
1000, 1000
100000, 100000

Binary Search: 
# Elements: , # Operations: 
5, 2
1000, 9
100000, 16

Selection Sort: 
# Elements: , # Operations: 
5, 10
1000, 499500
100000, 704982704

Bubble Sort: 
# Elements: , # Operations: 
5, 10
1000, 495222
100000, 704977244

Merge Sort: 
# Elements: , # Operations: 
5, 24
1000, 19952
100000, 3337856

Quick Sort: 
# Elements: , # Operations: 
5, 6
1000, 9996
100000, 1979542

